player_id,player_name,player_team,player_position,player_depth_chart_position
11220,Arquon Bush,,CB,
2934,Jonathon Rumph,,WR,
8175,Reggie Roberson,,WR,
8155,Breece Hall,NYJ,RB,RB
3704,Ryan Mack,,OT,RT
8081,Jake Curhan,SEA,T,RT
7699,Quinn Meinerz,DEN,OL,RG
6468,Matthew Eaton,,WR,
6987,Hakeem Adeniji,MIN,G,RT
7146,Vernon Scott,,DB,
2176,Yawin Smallwood,,ILB,
5846,DK Metcalf,SEA,WR,LWR
11070,Kazmeir Allen,WAS,WR,
816,Kenrick Ellis,,DT,
11025,Jalen Graham,SF,DB,LOLB
8879,Kenneth George,,DB,
3596,Kivon Cartwright,,TE,
7475,Napoleon Maxwell,,RB,
8753,Cortez Davis,,DB,
5724,Joseph Este,,S,
7217,Trevontae Hights,,WR,
4139,Amara Darboh,,WR,
11454,Otis Reese,TEN,LB,
8764,Darren Evans,,DB,
1807,Matt Simms,,QB,
6691,Ray Gene smith,,RB,
8862,Josh Valentine-Turner,,DB,
1061,Deonte Thompson,,WR,
9496,Sam James,,WR,
5309,Rod Taylor,,G,
2201,Khairi Fortt,,OLB,
3153,Amy Adams-Strunk,,,
2249,Anthony Steen,,G,
3605,Matthias Farley,CAR,DB,SS
516,Aaron Hernandez,,TE,
5670,Nick DeLuca,,TE,
3402,Zac Brooks,,RB,
6387,Nsimba Webster,CHI,WR,
10930,Riley Moss,DEN,DB,RCB
4019,Jason Garrett,,,
6745,Duplicate Player,MIA,G,
11284,Cody Chrest,,WR,
1482,Manti Te'o,,LB,
125,Calais Campbell,ATL,DE,LDE
8282,Delarrin Turner-Yell,DEN,DB,FS
7058,Jaylinn Hawkins,ATL,SS,FS
310,Heath Miller,,TE,
8501,Nick Zakelj,SF,OL,LG
519,Brandon Spikes,,ILB,
4341,Fish Smithson,,FS,
265,DeAngelo Hall,,FS,
2110,Christian Jones,,LB,
3354,Derek Watt,,FB,
3895,Marvin Hall,,WR,
6549,Damion Willis,,WR,
2081,Emmanuel Dieke,,DE,
4991,James Daniels,PIT,OL,RG
8885,Tucker Fisk,ATL,TE,
1694,Ryan Allen,,P,
7002,Juwan Johnson,NO,TE,TE
1573,Zac Stacy,,RB,
1263,Bernard Pierce,,RB,
483,Jonathan Casillas,,LB,
1663,Abry Jones,,DT,
3115,Dowell Loggains,,,
11245,Patrick Murtagh,,TE,
2289,Cordarro Law,,LB,
2115,Will Sutton,,DT,
3917,Kendal Thompson,,WR,
7334,Earnest Edwards,,WR,
8795,D'Anthony Bell,CLE,DB,SS
2166,David Yankey,,G,
193,Justin Durant,,LB,
1354,Jelani Jenkins,,LB,
3300,DeAndre Washington,,RB,
6376,James Folston,,OLB,
1940,Avery Williamson,,LB,
6124,Montez Sweat,WAS,DE,LDE
6819,Michael Pittman,IND,WR,LWR
4252,Isaiah Ford,,WR,
3029,S Green,,OLB,
541,Damian Williams,,WR,
5410,Evan Perrizo,,DE,
11401,DJ Dale,,DT,
1215,Jarius Wright,,WR,
368,Jason McCourty,,DB,
6101,Brian Peavy,,CB,
8655,Seth Vernon,,P,
11068,Mitchell Tinsley,WAS,WR,SWR
4838,Austin Albrecht,TB,OL,
4380,Cody Heiman,,ILB,
4293,Daniel Brunskill,TEN,OL,RG
3959,Greg Roman,,,
1770,Ray-Ray Armstrong,,LB,
6960,Tyler Johnson,LAR,WR,
7985,Pro Wells,,TE,
6440,Jordan Thompson,,DT,
2423,Ramik Wilson,,LB,
7648,Nick Bolton,KC,LB,LOLB
587,Logan Paulsen,,TE,
5992,Jonathan Crawford,,FS,
2556,Terrence Magee,,RB,
346,Brandon Tate,,WR,
7639,Rashawn Slater,LAC,T,LT
6112,Martez Ivey,,OT,
10952,Colby Wooden,GB,DE,LDE
11412,Jacob Sykes,,DE,
7233,Andre Baccellia,ARI,WR,
8641,De'Shaan Dixon,JAX,LB,
6603,Marquez Tucker,,OT,
8325,Arnold Ebiketie,ATL,DL,ROLB
1458,Quanterus Smith,,DE,
6028,Derwin Gray,,T,
1296,Cory Harkey,,TE,
5037,Breeland Speaks,,DE,
4429,Dwayne Thomas,,CB,
1796,Taylor Hart,,T,
5409,Tanner Hudson,CIN,TE,TE
11361,Broughton Hatcher,,LS,
5849,Kyler Murray,ARI,QB,
7549,CJ Marable,,RB,
3429,Darien Harris,,OLB,
2729,Corey Grant,,RB,
2582,Cole Stoudt,,QB,
7464,Connor Slomka,,RB,
7502,Dominique Dafney,,TE,
5802,Allenzae Staggers,,WR,
9491,Ty Scott,,WR,
7803,Trey Hill,CIN,C,C
691,Derek Anderson,,QB,
4643,Calvin Munson,NE,LB,LILB
3692,Alex Redmond,NE,OG,
4267,Jylan Ware,,OT,
277,Daniel Fells,,TE,
959,Da'Quan Bowers,,DT,
300,Willis McGahee,,RB,
1228,Trenton Robinson,,FS,
3564,Tre Madden,,RB,
11465,Adam Plant,,DE,
1585,Quinton Dial,,NT,
11432,Markees Watts,TB,DE,LOLB
6441,Duplicate Player,,NT,
5836,Tre' Williams,,OLB,
4670,Artavis Scott,,WR,
514,Brandon Deaderick,,DE,
4360,Fred Ross,,WR,
11142,Timarcus Davis,,CB,
6683,D'Andre Payne,,CB,
2213,Nate Askew,,OLB,
561,Cassius Vaughn,,CB,
3011,Antoine Everett,,OT,RT
866,Cecil Shorts,,WR,
8762,Jabari Ellis,,DT,
2032,Carlos Fields,,LB,
4595,Dontez Ford,,WR,
3497,Darion Griswold,,TE,
5180,Danny Ezechukwu,,OLB,
6471,Larry Allen Jr.,,G,
3194,Vernon Hargreaves,,DB,
1581,Carter Bykowski,,G,
7,Kurt Warner,,QB,
4152,Marlon Mack,ARI,RB,
7303,Bryan Wright,,LB,
5669,Sharif Finch,,LB,
4033,David Njoku,CLE,TE,TE
1525,Micah Hyde,BUF,DB,FS
10891,Devon Witherspoon,SEA,DB,NB
2067,Terrance Mitchell,,DB,
